Id,in_degree,out_degree,in_strength_total,out_strength_total,in_strength_count,out_strength_count
7483,12,22,275626.0,3146310.0,107,2508
7491,5,15,44428.0,914597.0,70,478
7495,15,18,3554487.0,1204678.0,1096,896
7501,5,4,532838.0,169441.0,57,149
7503,11,20,63083.0,1392350.0,226,1036
7515,15,12,1197167.0,5189704.0,811,1855
7532,5,20,41024.0,211058.0,11,128
7539,8,17,90621.0,3997575.0,38,1125
7564,7,6,4771999.0,1538181.0,179,192
7569,9,14,65950.0,1770272.0,72,768
7580,10,7,65081.0,2395410.0,94,406
7600,11,26,90626.0,1622565.0,41,1080
7602,5,13,311615.0,2034916.0,207,1221
7607,7,7,219683.0,441652.0,146,179
7609,7,9,49111.0,2481385.0,145,961
7615,6,16,12223.0,248559.0,30,274
7628,5,12,63671.0,269929.0,105,269
7630,6,6,264517.0,152811.0,231,144
7633,7,26,169451.0,2534792.0,95,2404
7674,2,10,142174.0,258572.0,185,540
7698,10,17,212195.0,506086.0,106,903
7702,7,7,37260.0,960880.0,27,207
7714,5,8,52735.0,490693.0,99,861
7725,13,20,3050330.0,1399709.0,2254,1249
7728,4,14,35720.0,448520.0,28,593
7742,3,13,9913.0,395634.0,9,731
842,9,11,132767.0,2292872.0,117,2430
7764,10,18,215498.0,1415685.0,227,788
7782,8,17,61251.0,1629640.0,30,1037
1237,12,10,26892.0,482276.0,25,578
7827,7,25,40223.0,242192.0,62,928
7838,9,20,2265334.0,2992360.0,1350,1452
7868,3,7,1488753.0,193022.0,100,203
7890,10,11,45593.0,1665920.0,70,1058
7914,7,18,4274238.0,1540411.0,407,1281
7924,7,23,131738.0,460005.0,50,456
7949,13,22,489488.0,8279074.0,392,5603
845,12,23,93600.0,1192527.0,71,1088
7961,12,20,297892.0,705572.0,385,354
8021,17,17,1872729.0,2613850.0,1939,1609
8047,7,16,32816.0,1735657.0,18,875
8068,4,13,179607.0,282439.0,52,761
1243,14,12,1492400.0,2195227.0,2283,418
8086,4,6,113042.0,1141302.0,446,281
8095,9,12,1508304.0,828547.0,1062,946
8107,10,18,130716.0,1311842.0,106,649
8115,10,9,134952.0,1004930.0,278,523
