Source Target Total Count
33 12458 1348.0 3
33 12471 20973.0 30
33 12474 5684232.0 108
33 12485 11018.0 6
33 12486 106726.0 56
33 12501 42721.0 4
33 12515 54163.0 11
33 12536 11048.0 13
33 12540 42569.0 22
33 12544 10423.0 2
33 910 1195.0 3
33 12556 735818.0 80
33 1357 38565.0 12
33 12618 9089.0 9
33 1448 1085097.0 413
33 12647 31544.0 14
33 12660 195721.0 11
33 12666 4861.0 6
33 12669 24532.0 23
33 12688 62187.0 22
33 12692 38557.0 14
33 12698 3130.0 2
33 12709 123184.0 13
33 12731 168.0 1
33 12752 322493.0 882
33 12764 9865.0 46
33 12767 993.0 1
33 12768 48464.0 6
33 12775 14383.0 12
33 12782 5958.0 16
33 1360 73005.0 12
33 12822 3598.0 3
33 12831 19982.0 3
33 12854 4271.0 1
33 12864 208909.0 19
33 12883 627.0 1
33 12891 5500.0 8
33 12905 2974.0 2
33 12907 160333.0 419
33 12932 6432.0 5
33 915 6000.0 1
33 12964 35190.0 9
33 917 4760.0 11
33 13001 18992.0 31
33 13004 5081.0 9
33 13011 324210.0 46
33 13025 23083.0 10
33 13049 639.0 1
33 13056 97909.0 7
33 13066 119.0 1
33 13072 25783.0 17
33 13096 883.0 1
33 13101 3888.0 1
33 13104 12487.0 2
33 13110 11322.0 5
33 13127 29589.0 5
33 13131 21523.0 3
33 13134 126605.0 38
33 13147 2256.0 10
33 13186 1971.0 2
33 13195 62796.0 102
33 13201 41520.0 9
33 13216 1719962.0 769
33 13235 4405.0 2
33 13236 14320.0 5
33 13244 11378.0 29
33 13245 7444.0 4
33 13249 2977122.0 107
33 13250 9704.0 2
33 13293 37441.0 7
33 13306 1045.0 2
33 13324 2000.0 2
33 13339 160561.0 48
33 13345 11706.0 8
33 13358 256175.0 915
33 13372 48441.0 9
33 13431 40867.0 3
33 13525 3246.0 2
33 13530 4434.0 4
33 13550 41897.0 15
33 13552 110944.0 35
33 13566 74311.0 13
33 13584 978.0 1
33 13596 25720.0 16
33 13603 138.0 1
33 13605 8111.0 5
33 13612 1463889.0 2269
33 13619 650.0 1
33 13620 793.0 1
33 13629 4968.0 4
33 13654 3388.0 3
33 13658 7105.0 1
33 13668 53.0 1
262181 176953 301.0 1
262181 24472 279.0 1
262181 25175 1098.0 24
262181 13725 188.0 2
262181 1447 1476.0 1
163881 202914 9932.0 12
163881 9355 2496.0 1
32843 16367 1790.0 1
32843 34822 6827.0 5
32843 34077 1197.0 1
32843 16602 383.0 5
32843 1022 10600.0 3
32843 34862 17000.0 1
32843 15127 175.0 1
32843 3960 13304.0 2
32843 14598 51505.0 17
32843 19617 213921.0 92
32843 30970 297.0 1
32843 20684 2000.0 2
32843 22539 64287.0 22
32843 18017 66150.0 33
32843 7600 7478.0 11
32843 20845 128158.0 30
32843 7698 311.0 5
32843 8086 26882.0 78
32843 8205 17.0 3
32843 9436 226779.0 443
32843 9437 905787.0 133
32843 10761 213550.0 35
32843 22593 15655.0 8
32843 1319 171.0 2
32843 10931 16546.0 12
32843 39213 2500.0 1
32843 19795 5864.0 21
32843 465698 96050.0 30
32843 11991 595.0 2
32843 1029 226659.0 23
32843 22235 5000.0 1
32843 17542 6708.0 4
32843 12515 155800.0 42
32843 12767 9800.0 3
32843 13293 22400.0 14
65636 11439 4879.0 11
1409154 75230 116.0 1
426125 34647 104039.0 108
426125 13104 2121237.0 293
229533 30103 417.0 8
165 1069 77.0 1
165 14535 125.0 1
165 1795 190.0 1
