Id,in_degree,out_degree,in_strength_total,out_strength_total,in_strength_count,out_strength_count,cluster
449806,0,2,0.0,379649.0,0,4,0
1367310,0,1,0.0,1332.0,0,1,0
1006908,0,1,0.0,1361.0,0,12,0
1072456,0,1,0.0,1066.0,0,6,0
1465688,0,1,0.0,66.0,0,1,0
1072496,0,1,0.0,905.0,0,5,0
1105277,0,1,0.0,5757.0,0,1,0
498400,1,0,1472.0,0.0,8,0,0
1465745,0,1,0.0,2667.0,0,1,0
1334675,0,1,0.0,1856.0,0,60,0
1596824,0,1,0.0,389.0,0,2,0
483672,1,0,2108.0,0.0,1,0,0
744884,0,2,0.0,215.0,0,2,0
1007049,0,1,0.0,7984.0,0,1,0
1498584,0,1,0.0,1422.0,0,37,0
875996,0,1,0.0,36.0,0,3,0
1105416,0,1,0.0,200.0,0,1,0
106052,1,0,165397.0,0.0,133,0,0
941597,0,1,0.0,321.0,0,3,0
74798,1,0,1264.0,0.0,10,0,0
1138229,0,2,0.0,6454.0,0,10,0
543703,1,0,1197.0,0.0,1,0,0
548419,2,2,346394.0,59515.0,68,182,0
288087,2,1,37818.0,1353.0,55,4,0
646732,1,1,563645.0,3000.0,32,1,0
63880,1,2,3000.0,584945.0,1,64,0
1072725,0,1,0.0,25039.0,0,3,0
745046,0,1,0.0,121.0,0,3,0
1138287,0,1,0.0,1000.0,0,1,0
1564280,0,1,0.0,400.0,0,1,0
544784,1,0,31798.0,0.0,40,0,0
153302,1,0,2593.0,0.0,1,0,0
486725,1,0,30665.0,0.0,279,0,0
1171108,0,1,0.0,345.0,0,1,0
1433256,0,2,0.0,4275.0,0,3,0
1302185,0,1,0.0,14810.0,0,38,0
843437,0,1,0.0,58.0,0,1,0
1236674,0,1,0.0,24.0,0,1,0
1269442,0,1,0.0,4491.0,0,5,0
1367759,0,1,0.0,216.0,0,1,0
1302235,0,2,0.0,360283.0,0,132,0
1203935,0,1,0.0,578.0,0,2,0
1138437,0,1,0.0,29.0,0,1,0
1531694,0,1,0.0,13665.0,0,1,0
679774,0,2,0.0,4556.0,0,8,0
1236831,0,5,0.0,13205.0,0,14,0
57201,1,3,348.0,34629.0,1,100,0
89981,0,2,0.0,5228.0,0,5,0
25393,1,15,1168.0,214236.0,4,47,0
57264,0,10,0.0,18922.0,0,41,0
876472,0,1,0.0,100.0,0,1,0
569304,1,0,500.0,0.0,2,0,0
1171410,0,1,0.0,6760.0,0,2,0
1499097,0,1,0.0,6527.0,0,7,0
1335262,0,1,0.0,1321.0,0,1,0
1400803,0,1,0.0,16625.0,0,10,0
909299,0,1,0.0,12.0,0,2,0
519677,1,0,10.0,0.0,1,0,0
558768,1,0,842.0,0.0,2,0,0
1400848,0,1,0.0,24.0,0,1,0
614442,0,1,0.0,27956.0,0,9,0
712754,0,1,0.0,961.0,0,4,0
614453,0,1,0.0,3001.0,0,6,0
745539,0,1,0.0,60620.0,0,17,0
1138765,0,1,0.0,2592.0,0,32,0
778320,0,1,0.0,59.0,0,1,0
1138779,0,1,0.0,4523.0,0,3,0
