,in_degree,out_degree,in_strength_total,out_strength_total,label
705,1,0,759,0,0
706,1,0,1508,0,0
707,1,0,70,0,0
708,1,0,1154,0,0
709,1,0,201,0,0
710,1,0,147783,0,0
711,1,0,1939,0,0
712,1,0,3093,0,0
713,1,0,132,0,0
714,1,0,14225,0,0
715,1,0,1159,0,0
716,1,0,1864,0,0
717,1,0,111,0,0
718,1,0,11551,0,0
719,1,0,79,0,0
720,1,0,29,0,0
721,1,0,13378,0,0
722,1,0,27,0,0
723,1,0,6353,0,0
724,1,0,353,0,0
725,1,0,548,0,0
726,1,0,1490,0,0
727,1,0,15,0,0
728,1,0,902,0,0
729,1,0,6620,0,0
730,1,0,36492,0,0
731,1,0,1335,0,0
732,1,0,97996,0,0
733,1,0,641,0,0
734,1,0,1627,0,0
735,1,0,76,0,0
736,1,0,1023,0,0
737,1,0,2422,0,0
738,1,1,238,7745,0
739,1,0,325,0,0
740,1,0,160547,0,0
741,1,0,3165,0,0
742,1,0,128949,0,0
743,1,0,464,0,0
744,1,0,36,0,0
745,1,0,236,0,0
746,1,0,46,0,0
747,1,0,96362,0,0
748,1,0,2567,0,0
749,1,0,4615,0,0
750,1,0,486,0,0
751,1,0,9694,0,0
752,1,0,662,0,0
753,1,0,1556,0,0
754,1,0,8712,0,0
755,1,0,89,0,0
756,2,0,8640,0,0
757,1,0,114,0,0
758,1,0,943,0,0
759,1,0,95,0,0
760,1,0,2856,0,0
761,1,0,25188,0,0
762,1,0,11,0,0
763,1,0,48,0,0
764,1,0,190,0,0
765,1,0,444,0,0
766,1,0,3045,0,0
767,1,0,318,0,0
768,1,0,6689,0,0
769,1,0,250,0,0
770,1,0,1055,0,0
771,1,0,3150,0,0
772,1,0,1986,0,0
773,1,0,140,0,0
774,1,0,2873,0,0
775,1,0,69360,0,0
776,1,0,13125,0,0
777,1,0,1062,0,0
778,1,0,2813,0,0
779,1,0,1507,0,0
780,1,0,120,0,0
781,1,0,2890,0,0
782,1,0,2,0,0
783,1,0,1964,0,0
784,1,0,2666,0,0
785,1,0,102,0,0
786,1,0,2337,0,0
787,1,0,584,0,0
788,1,0,16743,0,0
789,1,0,799,0,0
790,1,0,18873,0,0
791,1,0,997,0,0
792,1,0,260,0,0
793,1,0,9,0,0
794,1,1,3,38,0
795,1,1,93,58,0
796,1,0,71021,0,0
797,1,0,14,0,0
798,1,0,166,0,0
799,1,0,3396,0,0
800,1,0,2612,0,0
801,1,0,181,0,0
802,1,0,261387,0,0
803,1,0,5596,0,0
804,1,0,16,0,0
805,1,0,68,0,0
806,1,0,56203,0,0
807,1,0,79,0,0
808,1,0,488,0,0
809,1,0,5,0,0
810,1,0,36092,0,0
811,1,0,14027,0,0
812,1,0,67381,0,0
813,1,0,75956,0,0
814,1,0,1961,0,0
815,1,0,108652,0,0
816,1,0,30280,0,0
817,1,0,950,0,0
818,1,0,13513,0,0
819,1,0,1801,0,0
820,1,0,1552,0,0
821,1,0,2121,0,0
822,1,0,11375,0,0
823,1,0,1475,0,0
824,1,0,476,0,0
825,1,0,161968,0,0
826,1,0,909,0,0
827,1,0,108,0,0
828,1,0,113,0,0
829,1,0,51,0,0
830,1,0,51744,0,0
831,1,0,69,0,0
832,1,0,40749,0,0
833,1,0,103,0,0
834,1,0,132,0,0
835,1,0,238,0,0
836,1,0,5956,0,0
837,1,0,15764,0,0
838,1,0,2514,0,0
839,1,0,341,0,0
840,1,0,3334,0,0
841,1,0,103841,0,0
842,1,0,12134,0,0
843,1,0,915,0,0
844,1,0,625,0,0
845,1,0,836,0,0
846,3,0,81897,0,0
847,1,0,338,0,0
848,1,0,337,0,0
849,1,0,877,0,0
850,1,0,11300,0,0
851,1,0,380,0,0
852,1,0,57868,0,0
853,1,0,23276,0,0
854,1,0,7994,0,0
855,1,0,1826,0,0
856,1,0,933,0,0
857,1,0,15647,0,0
858,1,0,105956,0,0
859,1,0,3956,0,0
860,1,0,12517,0,0
861,1,0,27499,0,0
862,1,0,1062,0,0
863,1,0,2983,0,0
864,1,0,84,0,0
865,1,0,14,0,0
866,1,0,41062,0,0
867,1,0,9138,0,0
868,1,0,153,0,0
869,1,0,5734,0,0
870,1,0,678,0,0
871,1,0,11064,0,0
872,1,0,50564,0,0
873,1,0,55263,0,0
874,1,0,35,0,0
875,1,0,24874,0,0
876,1,0,2085,0,0
877,1,0,102,0,0
878,1,0,184,0,0
879,1,0,1266,0,0
880,1,0,915,0,0
881,2,1,73579,95096,1
882,1,0,35800,0,0
883,1,0,538,0,0
884,1,0,38,0,0
885,1,0,110,0,0
886,1,0,26628,0,0
887,1,0,189,0,0
888,1,0,5222,0,0
889,1,0,5427,0,0
890,1,0,3590,0,0
891,1,0,330,0,0
892,1,0,3840,0,0
893,1,0,1319,0,0
894,1,0,6967,0,0
895,1,0,4292,0,0
896,1,0,23251,0,0
897,1,0,1571,0,0
898,1,0,4394,0,0
899,1,0,842,0,0
900,1,0,8255,0,0
901,1,0,1766,0,0
902,1,0,21,0,0
903,1,0,331,0,0
904,1,0,38454,0,0
905,1,0,25,0,0
906,1,0,5017,0,0
907,1,0,17112,0,0
908,1,0,776,0,0
909,2,0,1285,0,0
910,1,0,457,0,0
911,1,0,370,0,0
912,1,0,422,0,0
913,1,0,22269,0,0
914,1,0,629,0,0
915,1,0,1023,0,0
916,1,0,13020,0,0
917,1,0,5133,0,0
