,f_degree_in,f_degree_out,f_amount_in,f_amount_out,f_nr_trans_in,f_nr_trans_out,f_ego_nr_nodes,f_ego_nr_edges,f_egored_degree_in,f_egored_degree_out,f_egored_amount_in,f_egored_amount_out,f_egored_nr_trans_in,f_egored_nr_trans_out,f_egored_nr_nodes,f_egored_nr_edges,f_rwalk_start_amount,f_rwalk_transfer_out,f_rwalk_out_back,f_rwalk_out_back_max,f_rwalk_end_amount,f_rwalk_transfer_in,f_rwalk_in_back,f_rwalk_in_back_max
15557,1.0,1.0,5748.0,650.0,1.0,1.0,2.0,1.0,1.0,1.0,5748.0,650.0,1.0,1.0,2.0,1.0,650.0,358.84,32.5,650.0,5748.0,1058.88,79.42,650.0
15558,1.0,0.0,384.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,258.51,0.0,0.0
15559,1.0,1.0,359.0,407.0,1.0,1.0,2.0,1.0,1.0,1.0,359.0,407.0,1.0,1.0,2.0,1.0,407.0,254.48,3.59,359.0,359.0,259.99,29.39,359.0
15560,1.0,1.0,38120.0,44600.0,1.0,1.0,2.0,1.0,1.0,1.0,38120.0,44600.0,1.0,1.0,2.0,1.0,44600.0,2833.82,1154.95,38120.0,38120.0,2897.82,1164.93,38120.0
15561,1.0,0.0,10.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.78,0.0,0.0
15562,1.0,1.0,70.0,177.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,177.0,177.0,0.0,0.0,70.0,56.96,0.0,0.0
15563,4.0,2.0,10314.0,28269.0,4.0,2.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13853.31,13853.31,0.0,0.0,2788.62,2776.42,0.0,0.0
15564,1.0,1.0,1243093.0,1127.0,1.0,1.0,2.0,1.0,1.0,1.0,1243093.0,1127.0,1.0,1.0,2.0,1.0,1127.0,592.1,18.77,1127.0,1243093.0,1174.39,84.03,1127.0
15565,1.0,0.0,121.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,89.58,0.0,0.0
15566,1.0,0.0,1786.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1786.0,694.29,0.0,0.0
15567,1.0,0.0,38868.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38868.0,1108.17,0.0,0.0
15568,1.0,0.0,1797.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1797.0,630.89,0.0,0.0
15569,1.0,0.0,6005.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6005.0,1165.5,0.0,0.0
15570,1.0,1.0,276.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,276.0,8.0,1.0,1.0,2.0,1.0,8.0,7.82,0.24,8.0,276.0,207.63,0.56,8.0
15571,1.0,1.0,775.0,62754.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,62754.0,62754.0,0.0,0.0,775.0,418.7,0.0,0.0
15572,1.0,0.0,1442.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1442.0,588.84,0.0,0.0
15573,1.0,0.0,2547.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2547.0,749.53,0.0,0.0
15574,1.0,1.0,1410.0,1164165.0,1.0,1.0,2.0,1.0,1.0,1.0,1410.0,1164165.0,1.0,1.0,2.0,1.0,1164165.0,3027.51,28.2,1410.0,1410.0,637.73,114.79,1410.0
15575,1.0,0.0,5.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
15576,1.0,0.0,1242.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1242.0,590.72,0.0,0.0
15577,5.0,1.0,26568.0,7348.0,5.0,1.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7348.0,7348.0,0.0,0.0,6341.19,6322.3,0.0,0.0
15578,1.0,1.0,15209.0,6.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,0.0,15209.0,15209.0,0.0,0.0
15579,0.0,2.0,0.0,4056.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1947.36,1946.67,0.0,0.0,0.0,0.0,0.0,0.0
15580,1.0,1.0,12.0,92.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,92.0,27.7,0.0,0.0,12.0,12.0,0.0,0.0
15581,0.0,4.0,0.0,12849.0,0.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3196.98,3196.98,0.0,0.0,0.0,0.0,0.0,0.0
15582,12.0,0.0,38168.0,0.0,12.0,0.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3088.81,2761.2,0.0,0.0
15583,2.0,0.0,5570.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2887.88,2887.88,0.0,0.0
15584,0.0,2.0,0.0,15363.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7681.5,74.45,0.0,0.0,0.0,0.0,0.0,0.0
15585,1.0,0.0,46478.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46478.0,1233.62,0.0,0.0
15586,2.0,0.0,807.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,436.7,349.38,0.0,0.0
15587,1.0,7.0,8630.0,15780.0,1.0,7.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2595.86,1325.57,0.0,0.0,8630.0,1750.33,0.0,0.0
15588,2.0,1.0,6543.0,523.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,523.0,523.0,0.0,0.0,3953.16,1438.18,0.0,0.0
15589,1.0,0.0,127928.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127928.0,1565.54,0.0,0.0
15590,1.0,0.0,162.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,133.74,0.0,0.0
15591,1.0,1.0,195.0,241790.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,241790.0,28220.23,0.0,0.0,195.0,195.0,0.0,0.0
15592,0.0,11.0,0.0,43567.0,0.0,11.0,12.0,12.0,0.0,2.0,0.0,10435.0,0.0,2.0,3.0,3.0,3073.89,475.71,0.0,0.0,0.0,0.0,0.0,0.0
15593,4.0,0.0,60941.0,0.0,4.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15416.04,678.7,0.0,0.0
15594,2.0,0.0,44.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24.52,24.52,0.0,0.0
15595,4.0,3.0,2638180.0,21093.0,4.0,3.0,6.0,5.0,2.0,2.0,39112.0,20970.0,2.0,2.0,3.0,2.0,6185.76,2248.13,1835.49,12036.0,583268.84,573992.3,892.67,12036.0
15596,2.0,1.0,1075.0,51943.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,51943.0,509.74,0.0,0.0,551.99,145.99,0.0,0.0
15597,2.0,1.0,443.0,59.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,0.0,0.0,236.94,223.67,0.0,0.0
15598,1.0,0.0,150.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,127.52,0.0,0.0
15599,1.0,0.0,212.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,164.67,0.0,0.0
15600,0.0,2.0,0.0,4030.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1918.5,1750.82,0.0,0.0,0.0,0.0,0.0,0.0
