,source,target,Total,Count
743,3429,1589,147,2
744,3429,698296,600,1
745,3429,109758,4995,33
746,3429,4426,713,1
747,1821,11205,6008,8
748,1821,1246,2207,8
749,1821,35160,1263,3
750,1821,210800,1397,5
751,1821,7386,2,1
752,1821,58604,2559,7
753,1821,91509,4433,10
754,1821,1667,2612,2
755,1821,5674,5316,9
756,1821,35129,7539,5
757,1821,49419,12501,15
758,1821,45386,675,3
759,1821,18387,1926,4
760,1821,19032,1160,6
761,1821,52832,704,3
762,1821,8469,2621,6
763,1821,42491,2,1
764,1821,53934,1099,9
765,1821,3687,8899,10
766,1821,7566,126,2
767,1821,158904,1399,1
768,1821,89436,747,1
769,1821,16916,998,2
770,1821,38596,3856,2
771,1821,6569,3068,5
772,1821,75155,204,1
773,1821,3910,73,1
774,1821,275449,145,1
775,1821,37747,5472,9
776,1821,37958,3460,4
777,1821,14783,1254,7
778,1821,72110,1601,7
779,1821,8505,3336,3
780,1821,13977,1593,2
781,1821,30285,3921,3
782,1821,43825,1524,3
783,1821,75253,2951,6
784,1821,129118,6061,11
785,1821,16681,5633,2
786,173177,6456,40,1
787,469160,6456,88,1
788,4601,80574,149,1
789,4601,17949,352,1
790,4601,30804,1121,2
791,4601,61389,249,1
792,4601,1933,29,1
793,4601,34383,111,1
794,4601,51752,55,1
795,4601,41988,1386,2
796,4601,15338,225,3
797,4601,61408,74,1
798,4601,574,84,1
799,4601,81447,51,1
800,27844,274656,352245,62
801,27844,96982,6945,12
802,27844,51043,334,1
803,57913,2612,384677,4
804,734774,3429,206463,355
805,734774,426752,33768,111
806,734774,6621,83865,308
807,734774,2762,24151,18
808,734774,42488,25553,191
809,734774,65375,8630,90
810,734774,100351,38562,355
811,734774,42017,5432,42
812,734774,40582,16892,3
813,734774,75217,16233,109
814,734774,14379,21422,376
815,734774,32162,28422,184
816,734774,127248,20551,179
817,734774,42325,32648,182
818,734774,42173,2889,44
819,734774,167,12919,24
820,734774,42472,12202,178
821,734774,92556,49498,144
822,734774,87087,6521,150
823,734774,14388,11710,90
824,734774,3028,37,2
825,734774,51520,1274,19
826,734774,24758,20000,246
827,734774,53597,106214,725
828,734774,23366,8583,40
829,734774,1147,17832,636
830,734774,75254,1374349,87
831,734774,16276,951,31
832,734774,23935,80816,443
833,734774,44559,267897,59
834,734774,151,12747,201
835,1589,29209,866090,185
836,1589,90208,110,2
837,1589,224198,74,1
838,1589,11547,850,3
839,1589,46917,330,3
840,1589,8453,242,1
841,1589,608206,13671,31
842,1589,20149,2629,4
843,1589,19313,22910,65
844,1589,260556,114875,109
845,1589,85575,2508,5
846,1589,102951,240,1
847,1589,32835,926037,241
848,1589,44794,64,1
849,1589,2136,710,3
850,1589,58580,2605,35
851,1589,2304,50,1
852,1589,74130,34,1
853,1589,16747,101,1
854,1589,25941,4517,7
855,1589,115582,108,2
856,1589,14607,536,2
857,1589,18977,99,1
858,1589,478337,60682,132
859,1589,58588,76,2
860,1589,17745,22,1
861,1589,92265,3924,5
862,698296,1425,151,1
863,109758,2739,1471,7
864,426752,7506,490,2
865,6621,9809,62642,160
866,6621,122821,500,1
867,6621,11333,5905,31
868,6621,965747,1400746,208
869,6621,965759,756,3
870,6621,193610,12068,59
871,2762,74,15585,3
872,2762,1357,150,2
873,2762,93,39298,72
874,2762,1441431,3540,1
875,65375,903342,52991,5
876,100351,100366,5183,8
877,100351,100368,4836,27
878,100351,34363,22297,57
879,42017,11075,3074,57
880,42017,14136,598,3
881,42017,375304,70,1
882,40582,67762,17909,26
883,40582,31078,375,3
884,40582,309990,237,1
885,40582,320968,1967,14
886,40582,354291,159,1
887,75217,327245,364,1
888,75217,93993,5493,51
889,14379,2878,74323,29
890,14379,58800,3152,32
891,127248,42806,16846,12
892,42325,7143,9379,59
893,42325,7132,5351,107
894,42173,62,423,7
895,42173,603984,1466,1
896,42472,22823,37572,39
897,42472,1000400,20000,1
898,42472,100376,347978,211
899,42472,758876,272,1
900,42472,1389585,12259,7
901,42472,159755,341723,512
902,42472,505,37799,104
903,42472,71518,259,1
904,92556,4659,13183,13
905,92556,7143,11696,17
906,92556,12206,4964,38
907,92556,357748,29,1
908,92556,187212,208,1
909,92556,357772,745,1
910,92556,357759,180,1
911,92556,357749,310,1
912,92556,357750,621,1
913,92556,357760,580199,113
914,92556,18300,106275,12
915,92556,3252,47061,167
916,92556,357767,260,4
917,87087,99570,44677,31
918,87087,777000,9661,3
919,87087,171143,1890,3
920,87087,51034,290225,97
921,3028,66,93527,40
922,3028,379,843,2
923,3028,17190,64,2
924,51520,50162,7791,80
925,24758,1594,85,2
926,24758,721356,615,7
927,24758,1324801,34252,41
928,53597,786010,27233,55
929,53597,878414,39971,37
930,53597,786016,1052,5
931,23366,40498,168512,433
932,23366,702816,193543,132
933,23366,180862,805,13
934,1147,1346,24248,34
935,75254,26101,3420,6
936,75254,6317,29716,10
937,75254,1061492,11361,36
938,16276,389,746,30
939,16276,2222,456,3
940,16276,11517,66609,73
941,16276,171750,388,1
942,23935,804,434,7
943,23935,26273,326,2
944,23935,778417,297,1
945,23935,778404,35079,20
946,23935,778408,39,1
947,44559,848967,84702,16
948,151,752003,768,4
949,102645,64837,6534,1
950,102645,943,260,25
951,102645,972730,19394,2
952,102645,1084469,236912,210
953,102645,31030,1344,3
954,943,525321,11,1
955,943,10462,3436,1
956,462781,102645,39589,23
957,462781,8870,165,1
958,25277,943,1264,14
959,25277,922346,135357,62
960,25277,922326,10667,44
961,25277,922332,1625,2
962,25277,56308,5550,25
963,25277,20787,116173,113
964,25277,922347,11690,7
965,525321,943,664,58
966,525321,9802,1305,12
967,7439,943,518,38
968,7439,134570,5380,51
969,92941,943,22,8
970,92941,74,150812,63
971,92941,804,1177,2
972,92941,4954,2986,16
973,92941,9728,35246,72
974,37621,943,596,72
975,37621,109912,1044,16
976,18983,943,2806,100
977,18983,1455099,31017,22
978,18983,1455129,100,2
979,18983,45231,1715,8
980,30283,943,2625,65
981,30283,205240,42450,7
982,30283,1021550,773,21
983,30283,20444,635,4
984,41986,943,45,7
985,41986,1594,239,1
986,41986,183406,76813,125
987,41986,303962,15439,45
988,41986,303952,68,1
989,41986,12774,12835,85
990,378543,943,2274,54
991,378543,389,481,6
992,378543,815,198,7
993,11447,943,192,4
994,11447,41377,2744,3
995,11447,4183,1436,24
996,11447,1170091,4244,17
997,11447,1170114,131,1
998,11447,41614,178392,55
999,129113,943,4782,55
1000,129113,386711,17906,3
1001,129113,46336,209367,55
1002,333767,943,1116,32
1003,198785,943,41,9
1004,18932,943,955,46
1005,18932,14841,597,1
1006,18098,943,15,5
1007,18098,75239,61730,13
1008,18098,1288678,44978,48
1009,42043,943,1203,38
1010,42043,7892,790,1
1011,8925,943,4401,77
1012,8925,633539,22384,4
1013,8925,633536,12109,9
1014,17656,943,620,76
1015,17656,113908,1516,12
1016,44371,943,104,5
1017,44371,462,10348,15
1018,44371,148299,43805,5
1019,323024,943,573,79
1020,323024,841182,4302,50
1021,323024,841184,4675,14
1022,323024,21028,756,6
1023,9168,943,2953,105
1024,9168,815,2993,20
1025,9168,399,21513,55
1026,9168,5462,126,1
1027,9168,771,81,9
1028,9168,93993,220,2
1029,9168,322935,459,2
1030,9168,54185,595481,79
1031,9168,405205,87514,57
1032,9168,40940,41,3
1033,21597,943,6575,42
1034,21597,15990,23681,47
1035,21597,869808,5371,8
1036,21597,65059,5025,12
1037,10462,943,4764,119
1038,10462,148190,84,1
1039,10462,33228,166,1
1040,10462,148199,3576,5
1041,309,943,6670,79
1042,309,950,9905,131
1043,309,18215,6527,17
1044,309,28506,10756,46
1045,309,109943,342565,160
1046,309,188120,206,1
1047,309,25807,884,2
1048,24727,943,11086,63
1049,24727,4659,39279,85
1050,24727,65118,46,1
1051,24727,988609,3623,3
1052,24727,173746,14245,38
1053,24727,577757,84,1
1054,24727,988606,1759,1
1055,24727,187209,178,2
1056,8154,943,7620,84
1057,8154,28276,10604,14
1058,112781,943,389,47
1059,112781,452342,773168,45
1060,112781,695349,2847,4
1061,900,943,119,1
1062,900,387885,75664,13
1063,900,1338754,520,1
1064,900,607760,600,10
1065,900,73067,37,1
1066,900,965920,8077,50
1067,900,379003,10907,2
1068,900,962330,4346,4
1069,900,976459,28,1
1070,900,542803,1642,4
1071,900,57552,60,1
1072,900,273456,1020,1
1073,900,1097876,2195,1
1074,900,1565045,35637,19
1075,131450,943,511,35
1076,131450,66,285148,52
1077,19044,943,192,6
1078,19044,12976,375,11
1079,19044,831008,161,1
1080,19044,830999,447,1
1081,19044,830994,7620,19
1082,10940,943,358,29
1083,10940,427876,3630,10
1084,589,943,1047,44
1085,589,765,70,1
1086,274667,943,132,22
1087,922346,5675,54,1
1088,142747,25277,2100,2
1089,142747,11070,27,1
1090,922332,25277,33891,23
1091,922332,24140,760,1
1092,418638,25277,187889,44
1093,418638,48366,350199,82
1094,2581,25277,535774,39
1095,2581,574126,13764,19
1096,2581,619718,766,2
1097,2581,72782,19435,2
1098,2581,18416,105748,50
1099,2581,135137,485847,21
1100,2581,523437,216898,22
1101,2581,40174,332461,28
1102,2581,74875,28712,19
